teamID,yearID,yr_spend_mil,cumulative_spend_mil
OAK,1986,9.78,18.84
OAK,1987,11.68,30.52
OAK,1988,9.69,40.21
OAK,1989,15.61,55.82
OAK,1990,19.89,75.71
OAK,1991,37.00,112.71
OAK,1992,41.04,153.74
OAK,1993,37.81,191.56
OAK,1994,34.17,225.73
OAK,1995,37.74,263.47
OAK,1996,21.24,284.71
OAK,1997,24.02,308.73
OAK,1998,21.30,330.03
OAK,1999,24.43,354.46
OAK,2000,31.97,386.44
OAK,2001,33.81,420.25
OAK,2002,40.00,460.25
OAK,2003,50.26,510.51
OAK,2004,59.43,569.94
OAK,2005,55.43,625.36
OAK,2006,62.24,687.61
OAK,2007,79.37,766.97
OAK,2008,47.97,814.94
OAK,2009,61.91,876.85
OAK,2010,55.25,932.10
OAK,2011,66.54,998.64
OAK,2012,55.37,1054.01
OAK,2013,60.13,1114.15
OAK,2014,72.41,1186.55
PHI,1985,10.13,10.13
PHI,1986,11.59,21.72
PHI,1987,11.51,33.23
PHI,1988,13.84,47.07
PHI,1989,10.60,57.67
PHI,1990,13.17,70.85
PHI,1991,22.49,93.33
PHI,1992,24.38,117.72
PHI,1993,28.54,146.25
PHI,1994,31.60,177.85
PHI,1995,30.56,208.41
PHI,1996,34.31,242.72
PHI,1997,36.66,279.38
PHI,1998,36.30,315.68
PHI,1999,31.69,347.37
PHI,2000,47.31,394.68
PHI,2001,41.66,436.34
PHI,2002,57.96,494.30
PHI,2003,70.78,565.08
PHI,2004,92.92,658.00
PHI,2005,95.52,753.52
PHI,2006,88.27,841.79
PHI,2007,89.43,931.22
PHI,2008,97.88,1029.10
PHI,2009,113.00,1142.10
PHI,2010,141.93,1284.03
PHI,2011,172.98,1457.01
PHI,2012,174.54,1631.55
PHI,2013,169.86,1801.41
PHI,2014,180.95,1982.36
PIT,1985,9.23,9.23
PIT,1986,10.84,20.07
PIT,1987,7.65,27.72
PIT,1988,6.00,33.72
PIT,1989,12.74,46.46
PIT,1990,15.56,62.02
PIT,1991,23.63,85.65
PIT,1992,33.94,119.59
PIT,1993,24.82,144.42
PIT,1994,24.22,168.63
PIT,1995,18.36,186.99
PIT,1996,23.02,210.01
PIT,1997,10.77,220.78
PIT,1998,15.07,235.84
PIT,1999,24.70,260.54
PIT,2000,28.93,289.47
PIT,2001,57.76,347.23
PIT,2002,42.32,389.55
PIT,2003,54.81,444.37
PIT,2004,32.23,476.59
PIT,2005,38.13,514.73
PIT,2006,46.72,561.44
PIT,2007,38.54,599.98
PIT,2008,48.69,648.67
PIT,2009,48.69,697.37
PIT,2010,34.94,732.31
PIT,2011,45.05,777.36
PIT,2012,62.95,840.31
PIT,2013,77.06,917.37
PIT,2014,77.18,994.55
SDN,1985,11.04,11.04
SDN,1986,11.38,22.42
SDN,1987,11.07,33.48
SDN,1988,9.56,43.04
SDN,1989,14.20,57.24
SDN,1990,17.59,74.83
SDN,1991,22.15,96.98
SDN,1992,26.85,123.83
SDN,1993,25.51,149.34
SDN,1994,14.92,164.26
SDN,1995,26.38,190.64
SDN,1996,28.35,218.99
SDN,1997,37.36,256.35
SDN,1998,46.86,303.21
SDN,1999,49.77,352.98
SDN,2000,54.82,407.80
SDN,2001,39.18,446.99
SDN,2002,41.43,488.41
SDN,2003,45.21,533.62
SDN,2004,55.38,589.01
SDN,2005,63.29,652.30
SDN,2006,69.90,722.19
SDN,2007,58.11,780.30
SDN,2008,73.68,853.98
SDN,2009,43.33,897.32
SDN,2010,37.80,935.11
SDN,2011,45.87,980.98
SDN,2012,55.24,1036.23
SDN,2013,65.59,1101.81
SDN,2014,75.69,1177.50
SEA,1985,4.61,4.61
SEA,1986,5.96,10.57
SEA,1987,2.26,12.83
SEA,1988,7.34,20.18
SEA,1989,9.78,29.96
SEA,1990,12.55,42.51
SEA,1991,15.69,58.20
SEA,1992,23.18,81.38
SEA,1993,32.70,114.08
SEA,1994,29.23,143.31
SEA,1995,36.48,179.79
SEA,1996,41.33,221.12
SEA,1997,41.54,262.66
SEA,1998,54.09,316.74
SEA,1999,54.13,370.87
SEA,2000,58.92,429.78
SEA,2001,74.72,504.51
SEA,2002,80.28,584.79
SEA,2003,86.96,671.75
SEA,2004,81.52,753.26
SEA,2005,87.75,841.02
SEA,2006,87.96,928.98
SEA,2007,106.46,1035.44
SEA,2008,117.67,1153.10
SEA,2009,98.90,1252.01
SEA,2010,86.51,1338.52
SEA,2011,86.11,1424.63
SEA,2012,81.98,1506.61
SEA,2013,74.01,1580.61
SEA,2014,92.53,1673.14
SFG,2014,143.51,143.51
SFN,1985,8.22,8.22
SFN,1986,8.95,17.17
SFN,1987,7.29,24.46
SFN,1988,12.38,36.84
SFN,1989,14.96,51.80
SFN,1990,19.34,71.14
SFN,1991,30.97,102.10
SFN,1992,33.16,135.27
SFN,1993,35.05,170.32
SFN,1994,42.64,212.96
SFN,1995,36.46,249.42
SFN,1996,37.14,286.56
SFN,1997,35.59,322.16
SFN,1998,42.57,364.72
SFN,1999,46.60,411.32
SFN,2000,53.74,465.06
SFN,2001,63.28,528.34
SFN,2002,78.30,606.64
SFN,2003,82.85,689.49
SFN,2004,82.02,771.51
SFN,2005,90.20,861.71
SFN,2006,90.06,951.76
SFN,2007,90.22,1041.98
SFN,2008,76.59,1118.58
SFN,2009,83.03,1201.60
SFN,2010,98.64,1300.24
SFN,2011,118.20,1418.44
SFN,2012,117.62,1536.06
SFN,2013,140.18,1676.24
SFN,2014,20.00,1696.24
SLN,1985,11.82,11.82
SLN,1986,9.88,21.69
SLN,1987,11.76,33.45
SLN,1988,12.88,46.33
SLN,1989,16.08,62.41
SLN,1990,20.52,82.93
SLN,1991,21.86,104.79
SLN,1992,27.58,132.38
SLN,1993,23.37,155.74
SLN,1994,29.28,185.02
SLN,1995,37.10,222.12
SLN,1996,40.27,262.39
SLN,1997,45.46,307.85
SLN,1998,54.67,362.52
SLN,1999,49.78,412.30
SLN,2000,61.45,473.75
SLN,2001,78.54,552.29
SLN,2002,74.66,626.95
SLN,2003,83.79,710.74
SLN,2004,83.23,793.97
SLN,2005,92.11,886.07
SLN,2006,88.89,974.96
SLN,2007,90.29,1065.25
SLN,2008,99.62,1164.87
SLN,2009,88.53,1253.40
SLN,2010,93.54,1346.94
SLN,2011,105.43,1452.38
SLN,2012,110.30,1562.68
SLN,2013,92.26,1654.94
SLN,2014,120.69,1775.63
TBA,1998,27.28,27.28
TBA,1999,38.87,66.15
TBA,2000,62.77,128.92
TBA,2001,56.98,185.90
TBA,2002,34.38,220.28
TBA,2003,19.63,239.91
TBA,2004,29.56,269.46
TBA,2005,29.68,299.14
TBA,2006,34.92,334.06
TBA,2007,24.12,358.18
TBA,2008,43.82,402.00
TBA,2009,63.31,465.32
TBA,2010,71.92,537.24
TBA,2011,41.05,578.29
TBA,2012,64.17,642.47
TBA,2013,52.96,695.42
TBA,2014,72.69,768.11
TEX,1985,7.68,7.68
TEX,1986,6.74,14.42
TEX,1987,0.88,15.30
TEX,1988,5.34,20.64
TEX,1989,11.89,32.54
TEX,1990,14.87,47.41
TEX,1991,18.22,65.63
TEX,1992,30.13,95.76
TEX,1993,36.38,132.14
TEX,1994,32.97,165.11
TEX,1995,34.58,199.69
TEX,1996,39.04,238.74
TEX,1997,53.45,292.18
TEX,1998,56.57,348.76
TEX,1999,76.71,425.47
TEX,2000,70.80,496.26
TEX,2001,88.63,584.90
TEX,2002,105.53,690.42
TEX,2003,103.49,793.91
TEX,2004,55.05,848.96
TEX,2005,55.85,904.81
