teamID,yearID,annual_spend_mill
SEA,1987,2.2635
SEA,1988,7.3425
SEA,1989,9.7795
SEA,1990,12.5537
SEA,1991,15.6918
SEA,1992,23.1798
SEA,1993,32.6963
SEA,1994,29.2285
SEA,1995,36.4813
SEA,1996,41.3285
SEA,1997,41.5407
SEA,1998,54.0870
SEA,1999,54.1250
SEA,2000,58.9150
SEA,2001,74.7208
SEA,2002,80.2827
SEA,2003,86.9592
SEA,2004,81.5158
SEA,2005,87.7543
SEA,2006,87.9598
SEA,2007,106.4608
SEA,2008,117.6665
SEA,2009,98.9042
SEA,2010,86.5100
SEA,2011,86.1106
SEA,2012,81.9781
SEA,2013,74.0050
SEA,2014,92.5311
SFG,2014,143.5102
SFN,1985,8.2217
SFN,1986,8.9470
SFN,1987,7.2900
SFN,1988,12.3800
SFN,1989,14.9628
SFN,1990,19.3353
SFN,1991,30.9677
SFN,1992,33.1632
SFN,1993,35.0500
SFN,1994,42.6387
SFN,1995,36.4628
SFN,1996,37.1447
SFN,1997,35.5924
SFN,1998,42.5658
SFN,1999,46.5951
SFN,2000,53.7378
SFN,2001,63.2802
SFN,2002,78.2998
SFN,2003,82.8522
SFN,2004,82.0192
SFN,2005,90.1995
SFN,2006,90.0564
SFN,2007,90.2191
SFN,2008,76.5945
SFN,2009,83.0265
SFN,2010,98.6413
SFN,2011,118.1983
SFN,2012,117.6207
SFN,2013,140.1803
SFN,2014,20.0000
SLN,1985,11.8171
SLN,1986,9.8750
SLN,1987,11.7580
SLN,1988,12.8800
SLN,1989,16.0788
SLN,1990,20.5233
SLN,1991,21.8600
SLN,1992,27.5838
SLN,1993,23.3673
SLN,1994,29.2756
SLN,1995,37.1010
SLN,1996,40.2697
SLN,1997,45.4567
SLN,1998,54.6725
SLN,1999,49.7782
SLN,2000,61.4539
SLN,2001,78.5383
SLN,2002,74.6609
SLN,2003,83.7867
SLN,2004,83.2283
SLN,2005,92.1068
SLN,2006,88.8914
SLN,2007,90.2868
SLN,2008,99.6244
SLN,2009,88.5284
SLN,2010,93.5408
SLN,2011,105.4336
SLN,2012,110.3009
SLN,2013,92.2601
SLN,2014,120.6930
TBA,1998,27.2800
TBA,1999,38.8700
TBA,2000,62.7651
TBA,2001,56.9800
TBA,2002,34.3800
TBA,2003,19.6300
TBA,2004,29.5567
TBA,2005,29.6791
TBA,2006,34.9180
TBA,2007,24.1235
TBA,2008,43.8206
TBA,2009,63.3130
TBA,2010,71.9235
TBA,2011,41.0536
TBA,2012,64.1735
TBA,2013,52.9553
TBA,2014,72.6891
TEX,1985,7.6765
TEX,1986,6.7431
TEX,1987,0.8800
TEX,1988,5.3421
TEX,1989,11.8938
TEX,1990,14.8744
TEX,1991,18.2245
TEX,1992,30.1282
TEX,1993,36.3770
TEX,1994,32.9736
TEX,1995,34.5815
TEX,1996,39.0415
TEX,1997,53.4488
TEX,1998,56.5721
TEX,1999,76.7099
TEX,2000,70.7959
TEX,2001,88.6335
TEX,2002,105.5261
TEX,2003,103.4917
TEX,2004,55.0504
TEX,2005,55.8490
TEX,2006,68.2287
TEX,2007,68.3187
TEX,2008,67.7123
TEX,2009,68.1788
TEX,2010,55.2505
TEX,2011,92.2993
TEX,2012,120.5110
TEX,2013,112.5226
TEX,2014,112.2551
TOR,1985,8.8126
TOR,1986,12.6110
TOR,1987,10.4795
TOR,1988,12.2412
TOR,1989,16.2617
TOR,1990,17.7568
TOR,1991,19.9024
TOR,1992,44.7887
TOR,1993,47.2792
TOR,1994,43.4337
TOR,1995,50.5900
TOR,1996,29.5551
TOR,1997,47.0798
TOR,1998,51.3760
TOR,1999,45.4443
TOR,2000,44.8383
TOR,2001,76.8960
TOR,2002,76.8643
TOR,2003,51.2690
TOR,2004,50.0170
TOR,2005,45.7195
TOR,2006,71.3650
TOR,2007,81.9428
TOR,2008,97.7939
TOR,2009,80.5383
TOR,2010,62.2340
TOR,2011,62.5678
TOR,2012,75.0092
TOR,2013,126.2881
TOR,2014,109.9201
WAS,2005,48.5815
WAS,2006,63.1430
WAS,2007,36.9475
WAS,2008,54.9610
WAS,2009,59.9280
WAS,2010,61.4000
WAS,2011,63.8569
WAS,2012,80.8551
WAS,2013,113.7033
WAS,2014,131.9837
